"conscientizacao_ID","Escolaridade(chefe_familia)","Recebe_Info_Energia","Interesse_Info_Energia","Compra_Produtos_Economicos","Evita_Banho_Demorado","Regula_Temp_Geladeira","Evita_Acender_Luz_Dia"
32,Superior completo,Não,Sim,Sempre,"",Raramente,Normalmente
33,Superior completo,Sim,"",Sempre,"",Nunca,Sempre
34,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Sempre,Sempre
35,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Normalmente,Sempre
36,Médio completo/Superior incompleto,Sim,"",Sempre,"",Normalmente,Normalmente
37,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Nunca,Sempre
38,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Sempre,Normalmente
39,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Sempre,Sempre
40,Médio completo/Superior incompleto,Não,Sim,Raramente,"",Raramente,Sempre
41,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Sempre,Sempre
42,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Nunca,Sempre
43,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Nunca,Sempre
44,Médio completo/Superior incompleto,Não,Sim,Nunca,"",Nunca,Sempre
45,Fundamental completo/Médio incompleto,Sim,"",Raramente,"",Raramente,Normalmente
46,Fundamental I completo / Fundamental II incompleto,Não,Não sabe/não responde,Sempre,"",Nunca,Sempre
47,Superior completo,Não,Sim,Sempre,"",Raramente,Sempre
48,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Normalmente,Sempre
49,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Raramente,Sempre
50,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Sempre,Normalmente
51,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Sempre,Normalmente
52,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Raramente,Normalmente
53,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Normalmente,Sempre
54,Analfabeto / Fundamental I incompleto,Não,Não,Sempre,"",Sempre,Sempre
55,Superior completo,Sim,"",Sempre,"",Raramente,Sempre
56,Médio completo/Superior incompleto,Sim,"",Sempre,"",NÃO SE APLICA,Sempre
57,Médio completo/Superior incompleto,Sim,"",Raramente,"",Raramente,Sempre
58,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Raramente,Sempre
59,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Nunca,Sempre
60,Médio completo/Superior incompleto,Não,Sim,Raramente,"",Sempre,Sempre
61,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Sempre,Raramente
62,Superior completo,Não,Sim,Sempre,"",Nunca,Sempre
63,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Nunca,Nunca
64,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Raramente,Sempre
65,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Sempre,Sempre
66,Fundamental completo/Médio incompleto,Não,Sim,NÃO SE APLICA,"",NÃO SE APLICA,Sempre
67,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Nunca,Nunca
68,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Raramente,Normalmente
69,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",NÃO SE APLICA,Sempre
70,Analfabeto / Fundamental I incompleto,Sim,"",Raramente,"",Nunca,Normalmente
71,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Normalmente,Sempre
72,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Normalmente,Normalmente
73,Superior completo,Não,Sim,Sempre,"",Sempre,Sempre
74,Médio completo/Superior incompleto,Não,Não,Sempre,"",Sempre,Sempre
75,Médio completo/Superior incompleto,Não sabe/não responde,Não,Sempre,"",Sempre,Sempre
76,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Raramente,Normalmente
77,Superior completo,Sim,"",Sempre,Sempre,Normalmente,Sempre
78,Médio completo/Superior incompleto,Sim,"",Sempre,"",Normalmente,Sempre
79,Superior completo,Não,Sim,Sempre,"",Nunca,Normalmente
80,Superior completo,Sim,"",Sempre,"",Normalmente,Sempre
81,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",NÃO SE APLICA,Sempre
82,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Nunca,Normalmente
83,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",NÃO SE APLICA,Sempre
84,Médio completo/Superior incompleto,Não,Sim,Sempre,"",NÃO SE APLICA,Sempre
85,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Nunca,Sempre
86,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Raramente,Normalmente
87,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Sempre,Sempre
88,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Normalmente,Sempre
89,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",NÃO SE APLICA,Sempre
90,Superior completo,Não,Sim,Sempre,"",NÃO SE APLICA,Sempre
91,Médio completo/Superior incompleto,Sim,"",Normalmente,"",NÃO SE APLICA,Sempre
92,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Normalmente,Sempre
93,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Raramente,Sempre
94,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Normalmente,Sempre
95,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,NÃO SE APLICA,Sempre,Sempre
96,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Raramente,Raramente
97,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Sempre,Normalmente
98,Fundamental completo/Médio incompleto,Sim,"",Raramente,"",Nunca,Sempre
99,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Sempre,Raramente
100,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Nunca,Normalmente
101,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Nunca,Sempre
102,Médio completo/Superior incompleto,Sim,"",Sempre,"",Raramente,Nunca
103,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Nunca,Normalmente
104,Superior completo,Sim,"",Sempre,"",Nunca,Normalmente
105,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Normalmente,Sempre
106,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Raramente,Sempre
107,Fundamental completo/Médio incompleto,Não,Sim,Raramente,"",Raramente,Sempre
108,Superior completo,Não,Não sabe/não responde,Nunca,"",Nunca,Sempre
109,Superior completo,Sim,"",Normalmente,"",Sempre,Sempre
110,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Sempre,Normalmente
111,Analfabeto / Fundamental I incompleto,Não,Sim,Raramente,"",Raramente,Sempre
112,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Sempre,Sempre
113,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Normalmente,Sempre
114,Médio completo/Superior incompleto,Sim,"",Sempre,Sempre,Sempre,Sempre
115,Fundamental completo/Médio incompleto,Não,Sim,Raramente,"",Raramente,Normalmente
116,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Normalmente,Normalmente
117,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Raramente,Normalmente
118,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Raramente,Normalmente
119,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Normalmente,Normalmente
120,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",NÃO SE APLICA,Normalmente
121,Médio completo/Superior incompleto,Não,Sim,Raramente,"",Nunca,Sempre
122,Superior completo,Não,Sim,Sempre,"",Normalmente,Normalmente
123,Médio completo/Superior incompleto,Não,Sim,Nunca,"",Raramente,Raramente
124,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Raramente,Raramente
125,Analfabeto / Fundamental I incompleto,Sim,"",Raramente,"",Normalmente,Normalmente
126,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Raramente,Normalmente
127,Analfabeto / Fundamental I incompleto,Não,Sim,Nunca,"",Normalmente,Normalmente
128,Superior completo,Não,Sim,Nunca,"",Normalmente,Sempre
129,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Nunca,Raramente
130,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Sempre,Sempre
131,Fundamental I completo / Fundamental II incompleto,Sim,"",NÃO SE APLICA,"",Sempre,Sempre
132,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",NÃO SE APLICA,Sempre
133,Analfabeto / Fundamental I incompleto,Não,Sim,Raramente,"",Sempre,Sempre
134,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Raramente,Sempre
135,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Raramente,Normalmente
136,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Raramente,Raramente
137,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Nunca,Normalmente
138,Analfabeto / Fundamental I incompleto,Não,Sim,Raramente,"",Sempre,Normalmente
139,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Nunca,NÃO SE APLICA
140,Analfabeto / Fundamental I incompleto,Sim,"",Raramente,"",Nunca,Sempre
141,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Nunca,Normalmente
142,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Sempre,Nunca
143,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Raramente,Sempre
144,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Normalmente,Normalmente
145,Fundamental completo/Médio incompleto,Não sabe/não responde,Sim,Sempre,"",Sempre,Sempre
146,Superior completo,Não,Sim,Sempre,"",Normalmente,Sempre
147,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Raramente,Raramente
148,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Sempre,Sempre
149,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Raramente,Normalmente
150,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Normalmente,Normalmente
151,Superior completo,Não,Sim,Normalmente,"",Normalmente,Normalmente
152,Fundamental I completo / Fundamental II incompleto,Sim,"",Normalmente,"",Raramente,Normalmente
153,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Normalmente,Normalmente
154,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Normalmente,Raramente
155,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Normalmente,Normalmente
156,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Nunca,Normalmente
157,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Sempre,Normalmente
158,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",NÃO SE APLICA,Raramente
159,Médio completo/Superior incompleto,Sim,"",Raramente,"",Sempre,Sempre
160,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Nunca,Sempre
161,Fundamental I completo / Fundamental II incompleto,Não,Sim,Nunca,"",Nunca,Sempre
162,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",NÃO SE APLICA,Normalmente
163,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Normalmente,Normalmente
164,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Nunca,Normalmente
165,Analfabeto / Fundamental I incompleto,Sim,"",Raramente,"",Raramente,Sempre
166,Analfabeto / Fundamental I incompleto,Não,Não,Sempre,"",Raramente,Sempre
167,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Nunca,Sempre
168,Superior completo,Sim,"",Sempre,Sempre,Raramente,Sempre
169,Superior completo,Não,Não,Normalmente,"",Normalmente,Normalmente
170,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Sempre,Normalmente
171,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Normalmente,Sempre
172,Analfabeto / Fundamental I incompleto,Não,Não,Normalmente,"",Sempre,Sempre
173,Médio completo/Superior incompleto,Não,Não,Normalmente,"",Normalmente,Sempre
174,Fundamental I completo / Fundamental II incompleto,Não,Não,Normalmente,"",Sempre,Sempre
175,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Normalmente,Normalmente
176,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Raramente,Sempre
177,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Nunca,Normalmente
178,Fundamental completo/Médio incompleto,Não,Não,Normalmente,"",NÃO SE APLICA,Normalmente
179,Superior completo,Não,Sim,Raramente,"",Raramente,Raramente
180,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Raramente,Sempre
181,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Nunca,Raramente
182,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Nunca,Raramente
183,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Sempre,Normalmente
184,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Sempre,Raramente
185,Médio completo/Superior incompleto,Sim,"",Sempre,"",Sempre,Raramente
186,Fundamental I completo / Fundamental II incompleto,Sim,"",Normalmente,"",Sempre,Sempre
187,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Nunca,Sempre
188,Superior completo,Não,Sim,Sempre,Sempre,Normalmente,Sempre
189,Fundamental completo/Médio incompleto,Não,Sim,Raramente,"",Sempre,Sempre
190,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Nunca,Normalmente
191,Fundamental I completo / Fundamental II incompleto,Sim,"",Normalmente,"",Sempre,Normalmente
192,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Normalmente,Sempre
193,Superior completo,Sim,"",Raramente,"",NÃO SE APLICA,Sempre
194,Superior completo,Não,Não,Sempre,"",NÃO SE APLICA,Sempre
195,Fundamental completo/Médio incompleto,Não,Sim,Raramente,"",Normalmente,Normalmente
196,Superior completo,Sim,"",Raramente,"",Raramente,Sempre
197,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",NÃO SE APLICA,Sempre
198,Superior completo,Não,Sim,Normalmente,"",Raramente,Normalmente
199,Analfabeto / Fundamental I incompleto,Não,Não,Normalmente,"",Normalmente,Normalmente
200,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Normalmente,Normalmente
201,Fundamental completo/Médio incompleto,Não,Não,Normalmente,"",Normalmente,Normalmente
202,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Normalmente,Normalmente
203,Médio completo/Superior incompleto,Não,Não,Normalmente,"",Normalmente,Normalmente
204,Superior completo,Não,Não,Normalmente,"",Sempre,Normalmente
205,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Sempre,Normalmente
206,Médio completo/Superior incompleto,Não,Não,Normalmente,"",Sempre,Sempre
207,Superior completo,Sim,"",Sempre,Sempre,Sempre,Sempre
208,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Sempre,Normalmente
209,Analfabeto / Fundamental I incompleto,Sim,"",Normalmente,"",Sempre,Normalmente
210,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Sempre,Sempre
211,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Nunca,Nunca
212,Analfabeto / Fundamental I incompleto,Não,Sim,Raramente,"",Raramente,Raramente
213,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Raramente,Raramente
214,Analfabeto / Fundamental I incompleto,Não,Sim,Raramente,"",Nunca,Sempre
215,Analfabeto / Fundamental I incompleto,Não,Não,Sempre,"",Nunca,Sempre
216,Analfabeto / Fundamental I incompleto,Não,Não sabe/não responde,Nunca,"",Normalmente,Sempre
217,Analfabeto / Fundamental I incompleto,Não,Sim,Nunca,"",Sempre,Sempre
218,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Raramente,Sempre
219,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Nunca,Normalmente
220,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Normalmente,Sempre
221,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,Sempre,Sempre,Sempre
222,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Sempre,Sempre
223,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Raramente,Normalmente
224,Superior completo,Não,Sim,Normalmente,Raramente,Raramente,Normalmente
225,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Nunca,Nunca
226,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Normalmente,Normalmente
227,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",NÃO SE APLICA,Normalmente
228,Médio completo/Superior incompleto,Sim,"",Sempre,"",Sempre,Normalmente
229,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Sempre,Normalmente
230,Fundamental I completo / Fundamental II incompleto,Não,Não,Normalmente,"",Raramente,Raramente
231,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Normalmente,Raramente
232,Médio completo/Superior incompleto,Não,Não,Normalmente,"",NÃO SE APLICA,Normalmente
233,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Nunca,Normalmente
234,Fundamental I completo / Fundamental II incompleto,Sim,"",Normalmente,"",Normalmente,Sempre
235,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Nunca,Sempre
236,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Nunca,Sempre
237,Fundamental completo/Médio incompleto,Não,Sim,Raramente,"",Nunca,Sempre
238,Médio completo/Superior incompleto,Sim,"",Sempre,"",Raramente,Normalmente
239,Fundamental I completo / Fundamental II incompleto,Não,Não,Raramente,"",Sempre,Sempre
240,Médio completo/Superior incompleto,Não,Não,Sempre,Raramente,Raramente,Normalmente
241,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Normalmente,Normalmente
242,Médio completo/Superior incompleto,Não,Sim,Raramente,"",Raramente,Raramente
243,Médio completo/Superior incompleto,Não,Não,Raramente,"",Normalmente,Sempre
244,Fundamental I completo / Fundamental II incompleto,Não,Sim,Raramente,"",Sempre,Sempre
245,Superior completo,Sim,"",Sempre,"",Normalmente,Normalmente
246,Superior completo,Sim,"",Normalmente,"",Normalmente,Normalmente
247,Superior completo,Não sabe/não responde,Sim,Sempre,"",Normalmente,Normalmente
248,Fundamental completo/Médio incompleto,Sim,"",Raramente,"",Sempre,Sempre
249,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Sempre,Sempre
250,Médio completo/Superior incompleto,Sim,"",Sempre,"",Normalmente,NÃO SE APLICA
251,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Raramente,Sempre
252,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Raramente,Raramente
253,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",Normalmente,Raramente
254,Analfabeto / Fundamental I incompleto,Não,Não,Sempre,"",Sempre,Normalmente
255,Analfabeto / Fundamental I incompleto,Não,Não,Sempre,"",Normalmente,Sempre
256,Analfabeto / Fundamental I incompleto,Não,Não,Raramente,"",Nunca,Raramente
257,Superior completo,Sim,"",Normalmente,Sempre,Sempre,Sempre
258,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Normalmente,Raramente
259,Médio completo/Superior incompleto,Sim,"",Sempre,"",Normalmente,Raramente
260,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Nunca,Normalmente
261,Superior completo,Não,Não,Sempre,"",Normalmente,Normalmente
262,Médio completo/Superior incompleto,Não,Não,Sempre,"",Raramente,Raramente
263,Médio completo/Superior incompleto,Não,Não,Normalmente,"",Nunca,Normalmente
264,Superior completo,Não,Não,Sempre,"",Normalmente,Sempre
265,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Sempre,Normalmente
266,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Normalmente,Sempre
267,Analfabeto / Fundamental I incompleto,Não sabe/não responde,Sim,Normalmente,"",Sempre,Raramente
268,Fundamental I completo / Fundamental II incompleto,Não sabe/não responde,Sim,NÃO SE APLICA,"",Normalmente,Normalmente
269,Superior completo,Não,Sim,Sempre,NÃO SE APLICA,Normalmente,Sempre
270,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Normalmente,Normalmente
271,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Sempre,Raramente
272,Superior completo,Não,Sim,Sempre,Sempre,Sempre,Sempre
273,Fundamental I completo / Fundamental II incompleto,Não,Não,Normalmente,"",Normalmente,Normalmente
274,Médio completo/Superior incompleto,Não,Sim,Normalmente,"",Normalmente,Raramente
275,Superior completo,Não,Sim,Normalmente,"",Sempre,Sempre
276,Fundamental completo/Médio incompleto,Não sabe/não responde,Não,Sempre,"",Nunca,Sempre
277,Fundamental I completo / Fundamental II incompleto,Não sabe/não responde,Sim,Sempre,"",Raramente,Normalmente
278,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",NÃO SE APLICA,Sempre
279,Médio completo/Superior incompleto,Não,Não sabe/não responde,Sempre,"",Raramente,Sempre
280,Médio completo/Superior incompleto,Não,Sim,Sempre,Normalmente,Nunca,Sempre
281,Fundamental completo/Médio incompleto,Não,Sim,Normalmente,"",Raramente,Sempre
282,Superior completo,Sim,"",Sempre,"",Raramente,Normalmente
283,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Sempre,Nunca
284,Superior completo,Não,Sim,Normalmente,"",Sempre,Normalmente
285,Médio completo/Superior incompleto,Não,Sim,Sempre,Normalmente,Sempre,Normalmente
286,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Raramente,Raramente
287,Fundamental I completo / Fundamental II incompleto,Não,Não,Raramente,"",Nunca,Sempre
288,Médio completo/Superior incompleto,Sim,"",Normalmente,"",Normalmente,Sempre
289,Analfabeto / Fundamental I incompleto,Não,Não,Raramente,"",Normalmente,Normalmente
290,Fundamental I completo / Fundamental II incompleto,Não,Sim,Normalmente,"",Normalmente,Raramente
291,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Normalmente,Raramente
292,Analfabeto / Fundamental I incompleto,Não,Não,Raramente,"",Nunca,Sempre
293,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Raramente,Sempre
294,Fundamental completo/Médio incompleto,Não,Não,Raramente,"",Nunca,Sempre
295,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,Sempre,Normalmente,Sempre
296,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Normalmente,Sempre
297,Analfabeto / Fundamental I incompleto,Não,Sim,NÃO SE APLICA,"",Normalmente,Normalmente
298,Superior completo,Sim,"",Sempre,"",Sempre,Normalmente
299,Médio completo/Superior incompleto,Não,Não,Sempre,"",Normalmente,Normalmente
300,Médio completo/Superior incompleto,Não,Não,Sempre,"",Sempre,Normalmente
301,Analfabeto / Fundamental I incompleto,Não,Sim,Normalmente,"",NÃO SE APLICA,Normalmente
302,Fundamental completo/Médio incompleto,Sim,"",Raramente,"",Raramente,Sempre
303,Fundamental completo/Médio incompleto,Não,Não,Normalmente,"",Sempre,Sempre
304,Médio completo/Superior incompleto,Não,Não sabe/não responde,Sempre,"",Nunca,Sempre
305,Superior completo,Não,Sim,Normalmente,"",Raramente,Raramente
306,Fundamental completo/Médio incompleto,Sim,"",Sempre,Sempre,Nunca,Raramente
307,Médio completo/Superior incompleto,Sim,"",Sempre,Normalmente,Sempre,Raramente
308,Fundamental completo/Médio incompleto,Sim,"",Sempre,Sempre,Normalmente,Sempre
309,Médio completo/Superior incompleto,Não,Não sabe/não responde,Raramente,"",NÃO SE APLICA,Raramente
310,Analfabeto / Fundamental I incompleto,Não,Não,Raramente,"",NÃO SE APLICA,Normalmente
311,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,NÃO SE APLICA,Raramente,Sempre
312,Médio completo/Superior incompleto,Sim,"",Normalmente,Normalmente,Sempre,Sempre
313,Médio completo/Superior incompleto,Não sabe/não responde,Sim,Sempre,"",Normalmente,Normalmente
314,Fundamental completo/Médio incompleto,Não,Não,Sempre,"",Nunca,Raramente
315,Médio completo/Superior incompleto,Não,Não sabe/não responde,Normalmente,"",Raramente,Normalmente
316,Fundamental completo/Médio incompleto,Não,Não,Sempre,Sempre,Sempre,Sempre
317,Fundamental completo/Médio incompleto,Sim,"",Normalmente,"",Sempre,Normalmente
318,Médio completo/Superior incompleto,Sim,"",Sempre,"",Raramente,Raramente
319,Fundamental I completo / Fundamental II incompleto,Não,Não,Sempre,"",Nunca,Sempre
320,Superior completo,Sim,"",Sempre,NÃO SE APLICA,Normalmente,Sempre
