"residencia_ID","Tipo","Area","Quant_Pessoas","Tipo_Energia","Fonte_Energia","Material","Quant_Banheiros","Quant_Chuveiros","Atividade_comercial"
58,Casa,"80.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
59,Casa,"","7.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
60,Casa,"16.0","9.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
61,Casa,"109.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
62,Casa,"130.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
63,Casa,"","1.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
64,Casa,"","7.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
65,Casa,"","8.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
66,Casa,"30.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
67,Casa,"60.0","8.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
68,Casa,"22.0","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"2,","0.0",Exclusivamente residencial
69,Casa,"44.0","9.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
70,Casa,"22.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
71,Casa,"48.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
72,Casa,"18.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
73,Casa,"50.0","8.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"2,","0.0",Exclusivamente residencial
74,Casa,"40.0","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
75,Casa,"50.0","3.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
76,Casa,"40.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
77,Casa,"50.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
78,Casa,"50.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
79,Casa,"44.0","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
80,Casa,"42.0","8.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
81,Casa,"24.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
82,Casa,"44.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
83,Casa,"64.0","1.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
84,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
85,Casa,"72.0","8.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
86,Casa,"","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
87,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
88,Casa,"64.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","0.0",Exclusivamente residencial
89,Apartamento,"20.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
90,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Não sabe/não responde
91,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
92,Casa,"24.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
93,Casa,"44.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
94,Apartamento,"40.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
95,Apartamento,"30.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
96,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"2,","0.0",Exclusivamente residencial
97,Casa,"52.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","0.0",Exclusivamente residencial
98,Casa,"68.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
99,Casa,"94.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
100,Casa,"23.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
101,Casa,"24.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
102,Casa,"26.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
103,Casa,"34.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
104,Casa,"60.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
105,Casa,"48.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
106,Casa,"80.0","2.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
107,Casa,"90.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"3,","0.0",Exclusivamente residencial
108,Casa,"","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
109,Casa,"60.0","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
110,Casa,"44.0","3.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
111,Casa,"70.0","2.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
112,Casa,"76.0","10.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
113,Casa,"","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
114,Apartamento,"","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
115,Apartamento,"","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
116,Apartamento,"48.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
117,Casa,"13.0","8.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
118,Casa,"","1.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
119,Casa,"30.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
120,Casa,"35.0","3.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
121,Casa,"60.0","8.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
122,Casa,"30.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
123,Casa,"","2.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
124,Casa,"","9.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","0.0",Exclusivamente residencial
125,Casa,"","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
126,Casa,"","8.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
127,Casa,"","5.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
128,Casa,"84.0","1.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
129,Outros,"14.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
130,Casa,"42.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
131,Casa,"84.0","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
132,Casa,"","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
133,Casa,"","3.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
134,Casa,"20.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
135,Casa,"142.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
136,Casa,"","3.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
137,Casa,"32.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
138,Casa,"60.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
139,Apartamento,"12.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
140,Casa,"34.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
141,Casa,"30.0","7.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
142,Apartamento,"32.0","9.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
143,Casa,"84.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
144,Casa,"50.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
145,Casa,"34.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
146,Casa,"26.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
147,Casa,"22.0","2.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
148,Casa,"48.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
149,Casa,"56.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
150,Casa,"92.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","1.0",Exclusivamente residencial
151,Casa,"","17.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
152,Casa,"72.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
153,Casa,"96.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
154,Casa,"31.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"4,","0.0",Exclusivamente residencial
155,Casa,"","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
156,Casa,"38.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
157,Casa,"24.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
158,Casa,"120.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
159,Casa,"34.0","6.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
160,Casa,"36.0","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
161,Casa,"","7.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
162,Casa,"45.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
163,Casa,"30.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
164,Casa,"44.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
165,Casa,"70.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
166,Casa,"70.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
167,Casa,"55.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
168,Casa,"50.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
169,Casa,"12.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
170,Casa,"35.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
171,Casa,"26.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
172,Casa,"200.0","1.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
173,Casa,"","4.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
174,Casa,"68.0","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
175,Casa,"70.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"1,","0.0",Exclusivamente residencial
176,Apartamento,"","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
177,Apartamento,"","5.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
178,Casa,"","14.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
179,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","1.0",Tem outra(s) atividade(s)
180,Casa,"","9.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
181,Apartamento,"","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
182,Apartamento,"","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
183,Casa,"92.0","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","0.0",Tem outra(s) atividade(s)
184,Casa,"83.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
185,Casa,"32.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
186,Casa,"30.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
187,Casa,"64.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
188,Casa,"40.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
189,Casa,"18.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Tem outra(s) atividade(s)
190,Casa,"24.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
191,Casa,"26.0","7.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
192,Casa,"28.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
193,Casa,"44.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
194,Casa,"","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
195,Casa,"36.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
196,Casa,"46.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
197,Casa,"36.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
198,Casa,"","12.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
199,Casa,"","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"2,","0.0",Exclusivamente residencial
200,Casa,"","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"3,","0.0",Exclusivamente residencial
201,Casa,"40.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
202,Casa,"40.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
203,Casa,"","7.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
204,Casa,"","11.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
205,Casa,"21.0","1.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
206,Casa,"","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Tem outra(s) atividade(s)
207,Apartamento,"","3.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
208,Casa,"","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","1.0",Exclusivamente residencial
209,Apartamento,"","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
210,Casa,"42.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
211,Casa,"50.0","5.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
212,Casa,"20.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
213,Casa,"","6.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"3,","0.0",Exclusivamente residencial
214,Casa,"","4.0",Rede geral de distribuicao,"",Madeira,"0,","0.0",Exclusivamente residencial
215,Casa,"60.0","9.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
216,Casa,"90.0","2.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
217,Casa,"81.0","7.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
218,Casa,"12.0","6.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
219,Casa,"18.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
220,Casa,"26.0","2.0",Rede geral de distribuicao,"",Alvenaria s/revestimento externo,"0,","0.0",Exclusivamente residencial
221,Casa,"25.0","4.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
222,Casa,"23.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"1,","0.0",Exclusivamente residencial
223,Casa,"130.0","3.0",Rede geral de distribuicao,"",Alvenaria c/revestimento externo,"0,","0.0",Exclusivamente residencial
